version, runtime
parallel_v2_onlyouter,1.002242
parallel_v2_onlyouter,1.001666
parallel_v2_onlyouter,1.005940
parallel_v2_onlyouter,9.873632
parallel_v2_onlyouter,1.037044
parallel_v2_onlyouter,1.033721
parallel_v2_onlyouter,1.037202
parallel_v2_onlyouter,1.102258
parallel_v2_onlyouter,9.637597
parallel_v2_onlyouter,1.012159
parallel_v2_onlyouter,1.068300
parallel_v2_onlyouter,9.981205
parallel_v2_onlyouter,1.046344
parallel_v2_onlyouter,1.049779
parallel_v2_onlyouter,1.103026
parallel_v2_onlyouter,1.047693
parallel_v2_onlyouter,1.035076
parallel_v2_onlyouter,1.051863
parallel_v2_onlyouter,1.023018
parallel_v2_onlyouter,1.002807
parallel_v2_onlyouter,1.075425
parallel_v2_onlyouter,1.045391
parallel_v2_onlyouter,9.455393
parallel_v2_onlyouter,1.004012
parallel_v2_onlyouter,1.045270
parallel_v2_onlyouter,1.070719
parallel_v2_onlyouter,1.086372
parallel_v2_onlyouter,1.007271
parallel_v2_onlyouter,1.089908
parallel_v2_onlyouter,1.039046
parallel_v2_onlyouter,1.037935
parallel_v2_onlyouter,1.002814
parallel_v2_onlyouter,1.019341
parallel_v2_onlyouter,1.021664
parallel_v2_onlyouter,1.042764
parallel_v2_onlyouter,1.078660
parallel_v2_onlyouter,1.053458
parallel_v2_onlyouter,1.033631
parallel_v2_onlyouter,9.923036
parallel_v2_onlyouter,1.023508
parallel_v2_onlyouter,1.023535
parallel_v2_onlyouter,1.022137
parallel_v2_onlyouter,1.004257
parallel_v2_onlyouter,9.741938
parallel_v2_onlyouter,1.001508
parallel_v2_onlyouter,1.034205
parallel_v2_onlyouter,1.083684
parallel_v2_onlyouter,1.047879
parallel_v2_onlyouter,1.021690
parallel_v2_onlyouter,1.005547
parallel_v2_onlyouter,1.078615
parallel_v2_onlyouter,1.081103
parallel_v2_onlyouter,1.041467
parallel_v2_onlyouter,9.482645
parallel_v2_onlyouter,1.068616
parallel_v2_onlyouter,1.089515
parallel_v2_onlyouter,1.054820
parallel_v2_onlyouter,1.038565
parallel_v2_onlyouter,1.036545
parallel_v2_onlyouter,1.039990
parallel_v2_onlyouter,9.789871
parallel_v2_onlyouter,1.058087
parallel_v2_onlyouter,1.057501
parallel_v2_onlyouter,1.065348
parallel_v2_onlyouter,1.117498
parallel_v2_onlyouter,1.031739
parallel_v2_onlyouter,1.052239
parallel_v3_both,1.680596
parallel_v3_both,1.664495
parallel_v3_both,1.667956
parallel_v3_both,1.661087
parallel_v3_both,1.651441
parallel_v3_both,1.653231
parallel_v3_both,1.683229
parallel_v3_both,1.662267
parallel_v3_both,1.661694
parallel_v3_both,1.660729
parallel_v3_both,1.634230
parallel_v3_both,1.659342
parallel_v3_both,1.656341
parallel_v3_both,1.655960
parallel_v3_both,1.663090
parallel_v3_both,1.673540
parallel_v3_both,1.686674
parallel_v3_both,1.664069
parallel_v3_both,1.658683
parallel_v3_both,1.657448
parallel_v3_both,1.681655
parallel_v3_both,1.658141
parallel_v3_both,1.652540
parallel_v3_both,1.670039
parallel_v3_both,1.652951
parallel_v3_both,1.654358
parallel_v3_both,1.656444
parallel_v3_both,1.659594
parallel_v3_both,1.657273
parallel_v3_both,1.675069
parallel_v3_both,1.661844
parallel_v3_both,1.662759
parallel_v3_both,1.633318
parallel_v3_both,1.655050
parallel_v3_both,1.676474
parallel_v3_both,1.656929
parallel_v3_both,1.635476
parallel_v3_both,1.659198
parallel_v3_both,1.684450
parallel_v3_both,1.670821
parallel_v3_both,1.670781
parallel_v3_both,1.665130
parallel_v3_both,1.648313
parallel_v3_both,1.643858
parallel_v3_both,1.668280
parallel_v3_both,1.638541
parallel_v3_both,1.684211
parallel_v3_both,1.651210
parallel_v3_both,1.677912
parallel_v3_both,1.690119
parallel_v3_both,1.679113
parallel_v3_both,1.700681
parallel_v3_both,1.646718
parallel_v3_both,1.685366
parallel_v3_both,1.674865
parallel_v3_both,1.663473
parallel_v3_both,1.628718
parallel_v3_both,1.642640
parallel_v3_both,1.689856
parallel_v3_both,1.662327
parallel_v3_both,1.697181
parallel_v3_both,1.667072
parallel_v3_both,1.662181
parallel_v3_both,1.652993
parallel_v3_both,1.654444
parallel_v3_both,1.657420
parallel_v3_both,1.684647
parallel_v3_both,1.653233
parallel_v3_both,1.661183
parallel_v3_both,1.660513
parallel_v3_both,1.676027
parallel_v3_both,1.661410
parallel_v3_both,1.657384
parallel_v3_both,1.663907
parallel_v3_both,1.662811
parallel_v3_both,1.655863
parallel_v3_both,1.652310
parallel_v3_both,1.654617
parallel_v3_both,1.657906
parallel_v3_both,1.649013
parallel_v3_both,1.690272
parallel_v3_both,1.661562
parallel_v3_both,1.655541
parallel_v3_both,1.677605
parallel_v3_both,1.688104
parallel_v3_both,1.653223
parallel_v3_both,1.661096
parallel_v3_both,1.670059
parallel_v3_both,1.666760
parallel_v3_both,1.692741
parallel_v3_both,1.672446
parallel_v3_both,1.652968
parallel_v3_both,1.687045
parallel_v3_both,1.650873
parallel_v3_both,1.652244
parallel_v3_both,1.651117
parallel_v3_both,1.667686
parallel_v3_both,1.658171
parallel_v3_both,1.691864
parallel_v3_both,1.660918
parallel_v4_inline,1.686132
parallel_v4_inline,1.649844
parallel_v4_inline,1.662389
parallel_v4_inline,1.664985
parallel_v4_inline,1.657722
parallel_v4_inline,1.682693
parallel_v4_inline,1.664774
parallel_v4_inline,1.650189
parallel_v4_inline,1.692664
parallel_v4_inline,1.657825
parallel_v4_inline,1.660367
parallel_v4_inline,1.661866
parallel_v4_inline,1.662687
parallel_v4_inline,1.673661
parallel_v4_inline,1.668254
parallel_v4_inline,1.659628
parallel_v4_inline,1.643533
parallel_v4_inline,1.661168
parallel_v4_inline,1.674916
parallel_v4_inline,1.695985
parallel_v4_inline,1.644308
parallel_v4_inline,1.653243
parallel_v4_inline,1.658492
parallel_v4_inline,1.652079
parallel_v4_inline,1.664829
parallel_v4_inline,1.658784
parallel_v4_inline,1.656381
parallel_v4_inline,1.695966
parallel_v4_inline,1.665663
parallel_v4_inline,1.659738
parallel_v4_inline,1.649859
parallel_v4_inline,1.651896
parallel_v4_inline,1.654929
parallel_v4_inline,1.646605
parallel_v4_inline,1.693419
parallel_v4_inline,1.668979
parallel_v4_inline,1.643492
parallel_v4_inline,1.675782
parallel_v4_inline,1.652742
parallel_v4_inline,1.642947
parallel_v4_inline,1.676685
parallel_v4_inline,1.656937
parallel_v4_inline,1.654318
parallel_v4_inline,1.673970
parallel_v4_inline,1.654161
parallel_v4_inline,1.658005
parallel_v4_inline,1.684892
parallel_v4_inline,1.671433
parallel_v4_inline,1.664050
parallel_v4_inline,1.684518
parallel_v4_inline,1.655983
parallel_v4_inline,1.656254
parallel_v4_inline,1.669957
parallel_v4_inline,1.662111
parallel_v4_inline,1.663820
parallel_v4_inline,1.662577
parallel_v4_inline,1.660481
parallel_v4_inline,1.696384
parallel_v4_inline,1.673860
parallel_v4_inline,1.641494
parallel_v4_inline,1.655072
parallel_v4_inline,1.660489
parallel_v4_inline,1.654017
parallel_v4_inline,1.668163
parallel_v4_inline,1.635476
parallel_v4_inline,1.638059
parallel_v4_inline,1.660262
parallel_v4_inline,1.689396
parallel_v4_inline,1.653141
parallel_v4_inline,1.658091
parallel_v4_inline,1.661001
parallel_v4_inline,1.679901
parallel_v4_inline,1.667338
parallel_v4_inline,1.690547
parallel_v4_inline,1.641075
parallel_v4_inline,1.653780
parallel_v4_inline,1.646790
parallel_v4_inline,1.651904
parallel_v4_inline,1.674548
parallel_v4_inline,1.659949
parallel_v4_inline,1.658374
parallel_v4_inline,1.635473
parallel_v4_inline,1.659040
parallel_v4_inline,1.689752
parallel_v4_inline,1.667420
parallel_v4_inline,1.670392
parallel_v4_inline,1.660385
parallel_v4_inline,1.632379
parallel_v4_inline,1.643953
parallel_v4_inline,1.662209
parallel_v4_inline,1.651149
parallel_v4_inline,1.651715
parallel_v4_inline,1.679727
parallel_v4_inline,1.672859
parallel_v4_inline,1.649484
parallel_v4_inline,1.689641
parallel_v4_inline,1.663182
parallel_v4_inline,1.670065
parallel_v4_inline,1.647341
parallel_v4_inline,1.660028
