version,runtime
sequential,7.888378
parallel_v1_onlynested,3.276073
parallel_v2_onlyouter,6.455245
parallel_v3_both,3.057807
parallel_v4_both_o3,3.071776
sequential,7.888378
parallel_v1_onlynested,3.276073
parallel_v2_onlyouter,6.455245
parallel_v3_both,3.057807
parallel_v4_both_o3,3.071776
