version,pattern,thread,n_rows,n_cols,runtime,flops
heat_omp, areas, 16,500,50000,7.094210e+00,1.692930e+10
heat_omp, plasma, 16, 5000,5000,6.499809e+00,1.847746e+10
heat_omp, plasma, 16,50000,500,6.881269e+00,1.745318e+10
heat_omp, plasma, 16,500,50000,6.109505e+00,1.965789e+10
heat_omp, gradient, 16, 5000,5000,5.988966e+00,2.005355e+10
heat_omp, gradient, 16,50000,500,6.532865e+00,1.838397e+10
heat_omp, gradient, 16,500,50000,7.078500e+00,1.696687e+10
heat_omp, uni, 16, 5000,5000,4.198928e-02,7.150634e+09
heat_omp, uni, 16,50000,500,4.319535e-02,6.950979e+09
heat_omp, uni, 16,500,50000,6.091585e-02,4.928931e+09
heat_omp, pat1, 16, 5000,5000,6.188284e+00,1.940764e+10
heat_omp, pat1, 16,50000,500,6.030812e+00,1.991440e+10
heat_omp, pat1, 16,500,50000,6.769048e+00,1.774253e+10
heat_omp, pat2, 16, 5000,5000,6.519597e+00,1.842138e+10
heat_omp, pat2, 16,50000,500,5.969312e+00,2.011957e+10
heat_omp, pat2, 16,500,50000,7.467253e+00,1.608356e+10
heat_omp, areas, 16, 1000,1000,3.157007e+00,3.804236e+10
heat_omp, areas, 16,10000,100,2.964452e+00,4.051339e+10
heat_omp, areas, 16,100,10000,4.044282e+00,2.969625e+10
heat_omp, plasma, 16, 1000,1000,3.175931e+00,3.781568e+10
heat_omp, plasma, 16,10000,100,2.911197e+00,4.125451e+10
heat_omp, plasma, 16,100,10000,3.986009e+00,3.013039e+10
heat_omp, gradient, 16, 1000,1000,3.137707e+00,3.827636e+10
heat_omp, gradient, 16,10000,100,2.985435e+00,4.022864e+10
heat_omp, gradient, 16,100,10000,4.604669e+00,2.608222e+10
heat_omp, uni, 16, 1000,1000,2.979018e-03,4.031530e+09
heat_omp, uni, 16,10000,100,3.029358e-03,3.964536e+09
heat_omp, uni, 16,100,10000,3.192811e-03,3.761576e+09
heat_omp, pat1, 16, 1000,1000,3.070085e+00,3.911944e+10
heat_omp, pat1, 16,10000,100,3.194026e+00,3.760145e+10
heat_omp, pat1, 16,100,10000,4.399436e+00,2.729895e+10
heat_omp, pat2, 16, 1000,1000,3.077051e+00,3.903088e+10
heat_omp, pat2, 16,10000,100,1.286876e+01,9.332676e+09
heat_omp, pat2, 16,100,10000,5.311202e+00,2.261258e+10
heat_omp, areas, 16, 3000,3000,7.328816e+00,1.638573e+10
heat_omp, areas, 16,30000,300,8.183602e+00,1.467422e+10
heat_omp, areas, 16,300,30000,7.474507e+00,1.606634e+10
heat_omp, plasma, 16, 3000,3000,7.871122e+00,1.525678e+10
heat_omp, plasma, 16,30000,300,8.586982e+00,1.398489e+10
heat_omp, plasma, 16,300,30000,7.747469e+00,1.550029e+10
heat_omp, gradient, 16, 3000,3000,6.745008e+00,1.780398e+10
heat_omp, gradient, 16,30000,300,8.588289e+00,1.398276e+10
heat_omp, gradient, 16,300,30000,7.779655e+00,1.543616e+10
heat_omp, uni, 16, 3000,3000,1.686913e-02,6.407562e+09
heat_omp, uni, 16,30000,300,1.791874e-02,6.032230e+09
heat_omp, uni, 16,300,30000,1.911042e-02,5.656076e+09
heat_omp, pat1, 16, 3000,3000,7.418238e+00,1.618821e+10
heat_omp, pat1, 16,30000,300,7.831944e+00,1.533310e+10
heat_omp, pat1, 16,300,30000,7.750119e+00,1.549499e+10
heat_omp, pat2, 16, 3000,3000,9.295560e+00,1.291885e+10
heat_omp, pat2, 16,30000,300,7.595008e+00,1.581144e+10
heat_omp, pat2, 16,300,30000,7.412103e+00,1.620161e+10
heat_omp, areas, 16, 5000,5000,6.290184e+00,1.909324e+10
heat_omp, areas, 16,50000,500,5.612370e+00,2.139916e+10
heat_omp, areas, 16,500,50000,6.722523e+00,1.786532e+10
heat_omp, plasma, 16, 5000,5000,6.386368e+00,1.880568e+10
heat_omp, plasma, 16,50000,500,5.864472e+00,2.047925e+10
heat_omp, plasma, 16,500,50000,7.026900e+00,1.709146e+10
heat_omp, gradient, 16, 5000,5000,6.900841e+00,1.740368e+10
heat_omp, gradient, 16,50000,500,6.308082e+00,1.903907e+10
heat_omp, gradient, 16,500,50000,6.973970e+00,1.722118e+10
heat_omp, uni, 16, 5000,5000,3.947423e-02,7.606229e+09
heat_omp, uni, 16,50000,500,4.291003e-02,6.997199e+09
heat_omp, uni, 16,500,50000,6.222421e-02,4.825292e+09
heat_omp, pat1, 16, 5000,5000,6.284645e+00,1.911007e+10
heat_omp, pat1, 16,50000,500,6.146314e+00,1.954017e+10
heat_omp, pat1, 16,500,50000,7.351153e+00,1.633757e+10
heat_omp, pat2, 16, 5000,5000,6.321992e+00,1.899718e+10
heat_omp, pat2, 16,50000,500,6.716780e+00,1.788059e+10
heat_omp, pat2, 16,500,50000,7.735366e+00,1.552609e+10
heat_omp, areas, 16, 1000,1000,2.992572e+00,4.013270e+10
heat_omp, areas, 16,10000,100,3.021359e+00,3.975032e+10
heat_omp, areas, 16,100,10000,3.852348e+00,3.117579e+10
heat_omp, plasma, 16, 1000,1000,3.079106e+00,3.900483e+10
heat_omp, plasma, 16,10000,100,3.408074e+00,3.523985e+10
heat_omp, plasma, 16,100,10000,4.155398e+00,2.890217e+10
heat_omp, gradient, 16, 1000,1000,3.086935e+00,3.890591e+10
heat_omp, gradient, 16,10000,100,2.919349e+00,4.113931e+10
heat_omp, gradient, 16,100,10000,4.488213e+00,2.675898e+10
heat_omp, uni, 16, 1000,1000,3.117297e-03,3.852697e+09
heat_omp, uni, 16,10000,100,2.855550e-03,4.205845e+09
heat_omp, uni, 16,100,10000,3.261218e-03,3.682673e+09
heat_omp, pat1, 16, 1000,1000,3.042458e+00,3.947466e+10
heat_omp, pat1, 16,10000,100,2.937713e+00,4.088214e+10
heat_omp, pat1, 16,100,10000,4.009342e+00,2.995504e+10
heat_omp, pat2, 16, 1000,1000,3.130509e+00,3.836437e+10
heat_omp, pat2, 16,10000,100,1.288780e+01,9.318890e+09
heat_omp, pat2, 16,100,10000,4.684102e+00,2.563992e+10
heat_omp, areas, 16, 3000,3000,7.517267e+00,1.597495e+10
heat_omp, areas, 16,30000,300,7.683687e+00,1.562895e+10
heat_omp, areas, 16,300,30000,8.805067e+00,1.363851e+10
heat_omp, plasma, 16, 3000,3000,7.043727e+00,1.704893e+10
heat_omp, plasma, 16,30000,300,7.925148e+00,1.515278e+10
heat_omp, plasma, 16,300,30000,9.870097e+00,1.216685e+10
heat_omp, gradient, 16, 3000,3000,7.736337e+00,1.552259e+10
heat_omp, gradient, 16,30000,300,9.400654e+00,1.277443e+10
heat_omp, gradient, 16,300,30000,7.758837e+00,1.547758e+10
heat_omp, uni, 16, 3000,3000,1.741987e-02,6.204984e+09
heat_omp, uni, 16,30000,300,1.678991e-02,6.437793e+09
heat_omp, uni, 16,300,30000,1.954389e-02,5.530630e+09
heat_omp, pat1, 16, 3000,3000,7.955232e+00,1.509547e+10
heat_omp, pat1, 16,30000,300,7.822629e+00,1.535136e+10
heat_omp, pat1, 16,300,30000,7.543684e+00,1.591901e+10
heat_omp, pat2, 16, 3000,3000,9.304155e+00,1.290692e+10
heat_omp, pat2, 16,30000,300,6.485269e+00,1.851704e+10
heat_omp, pat2, 16,300,30000,9.063018e+00,1.325033e+10
heat_omp, areas, 16, 5000,5000,6.016239e+00,1.996264e+10
heat_omp, areas, 16,50000,500,6.200012e+00,1.937093e+10
heat_omp, areas, 16,500,50000,6.995821e+00,1.716739e+10
heat_omp, plasma, 16, 5000,5000,6.300428e+00,1.906220e+10
heat_omp, plasma, 16,50000,500,5.663285e+00,2.120677e+10
heat_omp, plasma, 16,500,50000,7.211494e+00,1.665397e+10
heat_omp, gradient, 16, 5000,5000,6.398548e+00,1.876988e+10
heat_omp, gradient, 16,50000,500,6.420333e+00,1.870620e+10
heat_omp, gradient, 16,500,50000,6.663837e+00,1.802265e+10
heat_omp, uni, 16, 5000,5000,4.370439e-02,6.870019e+09
heat_omp, uni, 16,50000,500,3.900480e-02,7.697770e+09
heat_omp, uni, 16,500,50000,6.206785e-02,4.837448e+09
heat_omp, pat1, 16, 5000,5000,,
heat_omp, pat1, 16,50000,500,6.300270e+00,1.906268e+10
heat_omp, pat1, 16,500,50000,7.243601e+00,1.658015e+10
heat_omp, pat2, 16, 5000,5000,6.332181e+00,1.896661e+10
heat_omp, pat2, 16,50000,500,5.993885e+00,2.003709e+10
heat_omp, pat2, 16,500,50000,6.914709e+00,1.736877e+10
heat_omp, areas, 16, 1000,1000,3.065111e+00,3.918292e+10
heat_omp, areas, 16,10000,100,2.996899e+00,4.007476e+10
heat_omp, areas, 16,100,10000,5.038950e+00,2.383433e+10
heat_omp, plasma, 16, 1000,1000,3.064034e+00,3.919669e+10
heat_omp, plasma, 16,10000,100,2.922750e+00,4.109144e+10
heat_omp, plasma, 16,100,10000,4.030953e+00,2.979444e+10
heat_omp, gradient, 16, 1000,1000,3.034664e+00,3.957604e+10
heat_omp, gradient, 16,10000,100,2.940272e+00,4.084657e+10
heat_omp, gradient, 16,100,10000,3.920729e+00,3.063206e+10
heat_omp, uni, 16, 1000,1000,3.151312e-03,3.811111e+09
heat_omp, uni, 16,10000,100,3.040786e-03,3.949637e+09
heat_omp, uni, 16,100,10000,2.848838e-03,4.215754e+09
heat_omp, pat1, 16, 1000,1000,3.098614e+00,3.875926e+10
heat_omp, pat1, 16,10000,100,2.953089e+00,4.066928e+10
heat_omp, pat1, 16,100,10000,4.054082e+00,2.962446e+10
heat_omp, pat2, 16, 1000,1000,3.101784e+00,3.871965e+10
heat_omp, pat2, 16,10000,100,1.286183e+01,9.337705e+09
heat_omp, pat2, 16,100,10000,5.219408e+00,2.301027e+10
heat_omp, areas, 16, 3000,3000,7.754558e+00,1.548612e+10
heat_omp, areas, 16,30000,300,6.865848e+00,1.749063e+10
heat_omp, areas, 16,300,30000,8.316142e+00,1.444035e+10
heat_omp, plasma, 16, 3000,3000,8.670132e+00,1.385077e+10
heat_omp, plasma, 16,30000,300,7.060779e+00,1.700775e+10
heat_omp, plasma, 16,300,30000,7.825118e+00,1.534648e+10
heat_omp, gradient, 16, 3000,3000,8.222898e+00,1.460410e+10
heat_omp, gradient, 16,30000,300,7.526734e+00,1.595486e+10
heat_omp, gradient, 16,300,30000,8.933986e+00,1.344170e+10
heat_omp, uni, 16, 3000,3000,1.682296e-02,6.425146e+09
heat_omp, uni, 16,30000,300,1.810108e-02,5.971467e+09
heat_omp, uni, 16,300,30000,1.908152e-02,5.664644e+09
heat_omp, pat1, 16, 3000,3000,9.497470e+00,1.264421e+10
heat_omp, pat1, 16,30000,300,7.063256e+00,1.700179e+10
heat_omp, pat1, 16,300,30000,8.230127e+00,1.459127e+10
heat_omp, pat2, 16, 3000,3000,9.316157e+00,1.289029e+10
heat_omp, pat2, 16,30000,300,7.704980e+00,1.558576e+10
heat_omp, pat2, 16,300,30000,7.291617e+00,1.646932e+10
heat_omp, areas, 16, 5000,5000,5.959927e+00,2.015126e+10
heat_omp, areas, 16,50000,500,6.425097e+00,1.869232e+10
heat_omp, areas, 16,500,50000,7.281517e+00,1.649382e+10
heat_omp, plasma, 16, 5000,5000,6.119620e+00,1.962540e+10
heat_omp, plasma, 16,50000,500,6.073334e+00,1.977497e+10
heat_omp, plasma, 16,500,50000,7.174500e+00,1.673984e+10
heat_omp, gradient, 16, 5000,5000,6.611392e+00,1.816561e+10
heat_omp, gradient, 16,50000,500,5.898185e+00,2.036220e+10
heat_omp, gradient, 16,500,50000,6.923289e+00,1.734725e+10
heat_omp, uni, 16, 5000,5000,3.915807e-02,7.667640e+09
heat_omp, uni, 16,50000,500,4.360526e-02,6.885637e+09
