n,m,k,flops
100, 1600, 3000,  6.658473e+08 
1600, 100, 1,  6.925835e+08 
1600, 100, 3000,  6.629013e+08 
1600, 1600, 1,  7.005281e+08 
1600, 1600, 3000,  6.716878e+08 
100, 1600, 1,  6.955454e+08 
100, 1600, 3000,  6.667846e+08 
1600, 100, 1,  6.920568e+08 
1600, 100, 3000,  6.392052e+08 
1600, 1600, 1,  6.977958e+08 
1600, 1600, 3000,  6.561983e+08 
100, 1600, 1,  6.919075e+08 
100, 1600, 3000,  6.665493e+08 
1600, 100, 1,  6.920890e+08 
1600, 100, 3000,  6.615924e+08 
1600, 1600, 1,  6.986565e+08 
1600, 1600, 3000,  6.458241e+08 
100, 1600, 1,  6.966643e+08 
100, 1600, 3000,  6.670738e+08 
1600, 100, 1,  6.915484e+08 
1600, 100, 3000,  6.613969e+08 
1600, 1600, 1,  6.828241e+08 
1600, 1600, 3000,  6.671987e+08 
100, 1600, 1,  6.915905e+08 
100, 1600, 3000,  6.665304e+08 
1600, 100, 1,  6.921077e+08 
1600, 100, 3000,  6.626653e+08 
1600, 1600, 1,  7.016847e+08 
1600, 1600, 3000,  6.326935e+08 
100, 1600, 1,  6.957124e+08 
100, 1600, 3000,  6.674722e+08 
1600, 100, 1,  6.731678e+08 
1600, 100, 3000,  6.629933e+08 
1600, 1600, 1,  7.018179e+08 
1600, 1600, 3000,  6.640740e+08 
100, 1600, 1,  6.964406e+08 
100, 1600, 3000,  6.671405e+08 
1600, 100, 1,  6.895168e+08 
1600, 100, 3000,  6.635886e+08 
1600, 1600, 1,  6.601580e+08 
1600, 1600, 3000,  6.670864e+08 
100, 1600, 1,  6.954017e+08 
100, 1600, 3000,  6.639906e+08 
1600, 100, 1,  6.914229e+08 
1600, 100, 3000,  6.631489e+08 
1600, 1600, 1,  6.977440e+08 
1600, 1600, 3000,  6.495309e+08 
100, 1600, 1,  6.967125e+08 
100, 1600, 3000,  6.672754e+08 
1600, 100, 1,  6.929303e+08 
1600, 100, 3000,  6.640342e+08 
1600, 1600, 1,  6.950306e+08 
1600, 1600, 3000,  6.727436e+08 
100, 1600, 1,  6.967910e+08 
100, 1600, 3000,  6.669008e+08 
1600, 100, 1,  6.912879e+08 
1600, 100, 3000,  6.630483e+08 
1600, 1600, 1,  6.972652e+08 
1600, 1600, 3000,  6.488139e+08 
100, 1600, 1,  6.961489e+08 
100, 1600, 3000,  6.666338e+08 
1600, 100, 1,  6.912753e+08 
1600, 100, 3000,  6.614791e+08 
1600, 1600, 1,  6.987938e+08 
1600, 1600, 3000,  6.494468e+08 
100, 1600, 1,  6.967760e+08 
100, 1600, 3000,  6.672282e+08 
1600, 100, 1,  6.906301e+08 
1600, 100, 3000,  6.628194e+08 
2000, 2000, 1,  7.056835e+08 
2000, 2000, 3000,  6.725990e+08 
100, 2000, 1,  6.996842e+08 
100, 2000, 3000,  6.703618e+08 
2000, 100, 1,  6.943572e+08 
2000, 100, 3000,  6.516981e+08 
2000, 2000, 1,  7.057970e+08 
2000, 2000, 3000,  6.747502e+08 
100, 2000, 1,  6.986471e+08 
100, 2000, 3000,  6.702425e+08 
2000, 100, 1,  6.951178e+08 
2000, 100, 3000,  6.657103e+08 
2000, 2000, 1,  7.018481e+08 
2000, 2000, 3000,  6.745007e+08 
100, 2000, 1,  6.994029e+08 
100, 2000, 3000,  6.644396e+08 
2000, 100, 1,  6.956216e+08 
2000, 100, 3000,  6.633583e+08 
2000, 2000, 1,  7.055867e+08 
2000, 2000, 3000,  6.737938e+08 
100, 2000, 1,  6.997571e+08 
100, 2000, 3000,  6.728419e+08 
2000, 100, 1,  6.941719e+08 
2000, 100, 3000,  6.649210e+08 
2000, 2000, 1,  7.047315e+08 
2000, 2000, 3000,  6.712114e+08 
100, 2000, 1,  6.996676e+08 
100, 2000, 3000,  6.703382e+08 
2000, 100, 1,  6.961522e+08 
2000, 100, 3000,  6.667860e+08 
2000, 2000, 1,  7.006165e+08 
2000, 2000, 3000,  6.760417e+08 
100, 2000, 1,  6.997599e+08 
100, 2000, 3000,  6.702988e+08 
2000, 100, 1,  6.939472e+08 
2000, 100, 3000,  6.626942e+08 
2000, 2000, 1,  7.019193e+08 
2000, 2000, 3000,  6.749588e+08 
100, 2000, 1,  6.996608e+08 
100, 2000, 3000,  6.702330e+08 
2000, 100, 1,  6.925616e+08 
2000, 100, 3000,  6.642384e+08 
2000, 2000, 1,  7.007287e+08 
2000, 2000, 3000,  6.704411e+08 
100, 2000, 1,  7.001393e+08 
100, 2000, 3000,  6.673737e+08 
2000, 100, 1,  6.949528e+08 
2000, 100, 3000,  6.656361e+08 
2000, 2000, 1,  7.034315e+08 
2000, 2000, 3000,  6.743765e+08 
100, 2000, 1,  6.968193e+08 
100, 2000, 3000,  6.706532e+08 
2000, 100, 1,  6.947420e+08 
2000, 100, 3000,  6.648532e+08 
2000, 2000, 1,  6.584697e+08 
2000, 2000, 3000,  6.700827e+08 
100, 2000, 1,  6.974585e+08 
100, 2000, 3000,  6.697627e+08 
2000, 100, 1,  6.929064e+08 
2000, 100, 3000,  6.644920e+08 
2000, 2000, 1,  6.976760e+08 
2000, 2000, 3000,  6.710962e+08 
100, 2000, 1,  6.986784e+08 
100, 2000, 3000,  6.710191e+08 
2000, 100, 1,  6.947428e+08 
2000, 100, 3000,  6.656434e+08 
2000, 2000, 1,  7.053281e+08 
2000, 2000, 3000,  6.714442e+08 
100, 2000, 1,  6.980810e+08 
100, 2000, 3000,  6.698404e+08 
2000, 100, 1,  6.936840e+08 
2000, 100, 3000,  6.659007e+08 
2000, 2000, 1,  6.720141e+08 
2000, 2000, 3000,  6.713554e+08 
100, 2000, 1,  6.983935e+08 
100, 2000, 3000,  6.591394e+08 
2000, 100, 1,  6.945586e+08 
2000, 100, 3000,  6.649778e+08 
2000, 2000, 1,  6.757459e+08 
2000, 2000, 3000,  6.713661e+08 
100, 2000, 1,  6.984308e+08 
100, 2000, 3000,  6.698485e+08 
2000, 100, 1,  6.937813e+08 
2000, 100, 3000,  6.658300e+08 
2000, 2000, 1,  7.015733e+08 
2000, 2000, 3000,  6.438917e+08 
100, 2000, 1,  7.007751e+08 
100, 2000, 3000,  6.671859e+08 
2000, 100, 1,  6.935751e+08 
2000, 100, 3000,  6.647251e+08 
