n,m,k,flops
75, 100, 1,  4.651217e+08 
75, 100, 3000,  4.830363e+08 
75, 75, 1,  4.887210e+08 
75, 75, 3000,  4.735591e+08 
100, 75, 1,  4.906539e+08 
100, 75, 3000,  4.838117e+08 
75, 100, 1,  4.989156e+08 
75, 100, 3000,  4.768088e+08 
110, 110, 1,  5.350870e+08 
110, 110, 3000,  5.119423e+08 
100, 110, 1,  5.268419e+08 
100, 110, 3000,  5.050719e+08 
110, 100, 1,  5.252759e+08 
110, 100, 3000,  5.028833e+08 
110, 110, 1,  5.369101e+08 
110, 110, 3000,  5.173308e+08 
100, 110, 1,  5.275038e+08 
100, 110, 3000,  4.985892e+08 
110, 100, 1,  5.200117e+08 
110, 100, 3000,  4.987423e+08 
110, 110, 1,  5.380854e+08 
110, 110, 3000,  5.133745e+08 
100, 110, 1,  5.322265e+08 
100, 110, 3000,  4.957495e+08 
110, 100, 1,  5.203737e+08 
110, 100, 3000,  4.984649e+08 
110, 110, 1,  5.383287e+08 
110, 110, 3000,  5.113546e+08 
100, 110, 1,  5.206915e+08 
100, 110, 3000,  4.993005e+08 
110, 100, 1,  5.261476e+08 
110, 100, 3000,  5.025555e+08 
110, 110, 1,  5.339460e+08 
110, 110, 3000,  5.110010e+08 
100, 110, 1,  5.254393e+08 
100, 110, 3000,  5.042914e+08 
110, 100, 1,  5.335076e+08 
110, 100, 3000,  5.054543e+08 
110, 110, 1,  5.389389e+08 
110, 110, 3000,  5.172999e+08 
100, 110, 1,  5.234534e+08 
100, 110, 3000,  4.998604e+08 
110, 100, 1,  5.164038e+08 
110, 100, 3000,  4.919169e+08 
110, 110, 1,  5.303476e+08 
110, 110, 3000,  5.122134e+08 
100, 110, 1,  5.243761e+08 
100, 110, 3000,  4.956972e+08 
110, 100, 1,  5.148013e+08 
110, 100, 3000,  4.936159e+08 
110, 110, 1,  5.317696e+08 
110, 110, 3000,  5.122686e+08 
100, 110, 1,  5.271892e+08 
100, 110, 3000,  5.057223e+08 
110, 100, 1,  5.147976e+08 
110, 100, 3000,  5.060024e+08 
110, 110, 1,  5.292373e+08 
110, 110, 3000,  5.066293e+08 
100, 110, 1,  5.259285e+08 
100, 110, 3000,  5.058412e+08 
110, 100, 1,  5.204802e+08 
110, 100, 3000,  5.073445e+08 
110, 110, 1,  5.272279e+08 
110, 110, 3000,  5.112073e+08 
100, 110, 1,  5.143219e+08 
100, 110, 3000,  4.928380e+08 
110, 100, 1,  5.090948e+08 
110, 100, 3000,  5.016755e+08 
110, 110, 1,  5.313848e+08 
110, 110, 3000,  5.107958e+08 
100, 110, 1,  5.206290e+08 
100, 110, 3000,  4.993126e+08 
110, 100, 1,  5.277987e+08 
110, 100, 3000,  4.931899e+08 
110, 110, 1,  5.366604e+08 
110, 110, 3000,  5.121833e+08 
100, 110, 1,  5.190096e+08 
100, 110, 3000,  5.057597e+08 
110, 100, 1,  5.196216e+08 
110, 100, 3000,  4.990824e+08 
110, 110, 1,  5.389843e+08 
110, 110, 3000,  5.102281e+08 
100, 110, 1,  5.263049e+08 
100, 110, 3000,  4.911985e+08 
110, 100, 1,  5.061657e+08 
110, 100, 3000,  4.977590e+08 
110, 110, 1,  5.363516e+08 
110, 110, 3000,  5.089434e+08 
100, 110, 1,  5.286264e+08 
100, 110, 3000,  5.048227e+08 
110, 100, 1,  5.179066e+08 
110, 100, 3000,  5.014818e+08 
110, 110, 1,  5.354165e+08 
110, 110, 3000,  5.068768e+08 
100, 110, 1,  5.268841e+08 
100, 110, 3000,  4.998452e+08 
110, 100, 1,  5.154012e+08 
110, 100, 3000,  4.990644e+08 
200, 200, 1,  6.508911e+08 
200, 200, 3000,  6.199398e+08 
100, 200, 1,  5.883980e+08 
100, 200, 3000,  5.702139e+08 
200, 100, 1,  5.989272e+08 
200, 100, 3000,  5.677964e+08 
200, 200, 1,  6.446492e+08 
200, 200, 3000,  6.175602e+08 
100, 200, 1,  5.912038e+08 
100, 200, 3000,  5.709008e+08 
200, 100, 1,  5.861190e+08 
200, 100, 3000,  5.665389e+08 
200, 200, 1,  6.496174e+08 
200, 200, 3000,  6.149871e+08 
100, 200, 1,  5.901313e+08 
100, 200, 3000,  5.723650e+08 
200, 100, 1,  5.650495e+08 
200, 100, 3000,  5.718733e+08 
200, 200, 1,  6.450186e+08 
200, 200, 3000,  6.234291e+08 
100, 200, 1,  5.922082e+08 
100, 200, 3000,  5.643238e+08 
200, 100, 1,  5.346401e+08 
200, 100, 3000,  5.721234e+08 
200, 200, 1,  6.464745e+08 
200, 200, 3000,  6.204570e+08 
100, 200, 1,  5.974128e+08 
100, 200, 3000,  5.664009e+08 
200, 100, 1,  5.948200e+08 
200, 100, 3000,  5.657848e+08 
200, 200, 1,  5.939914e+08 
200, 200, 3000,  6.191224e+08 
100, 200, 1,  5.924629e+08 
100, 200, 3000,  5.685558e+08 
200, 100, 1,  5.949656e+08 
200, 100, 3000,  5.621565e+08 
200, 200, 1,  6.530898e+08 
200, 200, 3000,  6.193161e+08 
100, 200, 1,  5.985367e+08 
100, 200, 3000,  5.676755e+08 
200, 100, 1,  5.871218e+08 
200, 100, 3000,  5.675228e+08 
200, 200, 1,  6.459332e+08 
200, 200, 3000,  6.231563e+08 
100, 200, 1,  5.973279e+08 
100, 200, 3000,  5.734607e+08 
200, 100, 1,  5.935966e+08 
200, 100, 3000,  5.712113e+08 
200, 200, 1,  6.461556e+08 
200, 200, 3000,  6.201027e+08 
100, 200, 1,  5.527971e+08 
100, 200, 3000,  5.485738e+08 
200, 100, 1,  5.941544e+08 
200, 100, 3000,  5.872234e+08 
200, 200, 1,  6.487174e+08 
200, 200, 3000,  6.205756e+08 
100, 200, 1,  5.968751e+08 
100, 200, 3000,  5.684311e+08 
200, 100, 1,  5.879042e+08 
200, 100, 3000,  5.717829e+08 
200, 200, 1,  6.491398e+08 
200, 200, 3000,  6.214483e+08 
100, 200, 1,  5.932333e+08 
100, 200, 3000,  5.675864e+08 
200, 100, 1,  5.949126e+08 
200, 100, 3000,  5.640122e+08 
200, 200, 1,  6.465513e+08 
200, 200, 3000,  6.215174e+08 
100, 200, 1,  5.967559e+08 
100, 200, 3000,  5.738059e+08 
200, 100, 1,  5.910635e+08 
200, 100, 3000,  5.720494e+08 
200, 200, 1,  6.492765e+08 
200, 200, 3000,  6.206072e+08 
100, 200, 1,  5.976143e+08 
100, 200, 3000,  5.736530e+08 
200, 100, 1,  5.976571e+08 
200, 100, 3000,  5.666389e+08 
200, 200, 1,  6.512369e+08 
200, 200, 3000,  6.160732e+08 
100, 200, 1,  6.052513e+08 
100, 200, 3000,  5.644391e+08 
200, 100, 1,  5.990143e+08 
200, 100, 3000,  5.660433e+08 
200, 200, 1,  6.440816e+08 
200, 200, 3000,  6.214276e+08 
100, 200, 1,  6.004481e+08 
100, 200, 3000,  5.709758e+08 
200, 100, 1,  5.893347e+08 
200, 100, 3000,  5.670130e+08 
500, 500, 1,  7.035783e+08 
500, 500, 3000,  6.699007e+08 
100, 500, 1,  6.609152e+08 
100, 500, 3000,  6.325264e+08 
500, 100, 1,  6.617121e+08 
500, 100, 3000,  6.307869e+08 
500, 500, 1,  6.959268e+08 
500, 500, 3000,  6.709546e+08 
100, 500, 1,  6.497892e+08 
100, 500, 3000,  6.327520e+08 
500, 100, 1,  6.421577e+08 
500, 100, 3000,  6.303584e+08 
500, 500, 1,  6.936352e+08 
500, 500, 3000,  6.707838e+08 
100, 500, 1,  6.579446e+08 
100, 500, 3000,  6.362968e+08 
500, 100, 1,  6.570055e+08 
500, 100, 3000,  6.318774e+08 
500, 500, 1,  6.963710e+08 
500, 500, 3000,  6.682966e+08 
100, 500, 1,  6.615409e+08 
100, 500, 3000,  6.300754e+08 
500, 100, 1,  6.566082e+08 
500, 100, 3000,  6.316430e+08 
500, 500, 1,  6.871000e+08 
500, 500, 3000,  6.711562e+08 
100, 500, 1,  6.598733e+08 
100, 500, 3000,  6.345948e+08 
500, 100, 1,  6.565987e+08 
500, 100, 3000,  6.288904e+08 
500, 500, 1,  7.006419e+08 
500, 500, 3000,  6.676320e+08 
100, 500, 1,  6.601396e+08 
100, 500, 3000,  6.309532e+08 
500, 100, 1,  6.579878e+08 
500, 100, 3000,  6.291408e+08 
500, 500, 1,  6.992459e+08 
500, 500, 3000,  6.715783e+08 
100, 500, 1,  6.595581e+08 
100, 500, 3000,  6.157285e+08 
500, 100, 1,  6.567510e+08 
500, 100, 3000,  5.997215e+08 
500, 500, 1,  7.002107e+08 
500, 500, 3000,  6.506943e+08 
100, 500, 1,  6.615202e+08 
100, 500, 3000,  6.320061e+08 
500, 100, 1,  6.547880e+08 
500, 100, 3000,  6.314840e+08 
500, 500, 1,  6.982764e+08 
500, 500, 3000,  6.700261e+08 
100, 500, 1,  6.607515e+08 
100, 500, 3000,  6.368245e+08 
500, 100, 1,  6.568800e+08 
500, 100, 3000,  6.301556e+08 
500, 500, 1,  6.978531e+08 
500, 500, 3000,  6.719846e+08 
100, 500, 1,  6.607472e+08 
100, 500, 3000,  6.347264e+08 
500, 100, 1,  6.564472e+08 
500, 100, 3000,  6.341654e+08 
500, 500, 1,  6.994848e+08 
500, 500, 3000,  6.632528e+08 
100, 500, 1,  6.619334e+08 
100, 500, 3000,  6.496167e+08 
500, 100, 1,  6.584775e+08 
500, 100, 3000,  6.249904e+08 
500, 500, 1,  6.974954e+08 
500, 500, 3000,  6.713797e+08 
100, 500, 1,  6.592257e+08 
100, 500, 3000,  6.349691e+08 
500, 100, 1,  6.563789e+08 
500, 100, 3000,  6.325010e+08 
500, 500, 1,  7.001748e+08 
500, 500, 3000,  6.721191e+08 
100, 500, 1,  6.606987e+08 
100, 500, 3000,  6.337434e+08 
500, 100, 1,  6.562603e+08 
500, 100, 3000,  6.304886e+08 
500, 500, 1,  6.934852e+08 
500, 500, 3000,  6.697873e+08 
100, 500, 1,  6.589869e+08 
100, 500, 3000,  6.329552e+08 
500, 100, 1,  6.554915e+08 
500, 100, 3000,  6.301987e+08 
500, 500, 1,  6.976916e+08 
500, 500, 3000,  6.713218e+08 
100, 500, 1,  6.609318e+08 
100, 500, 3000,  6.325734e+08 
500, 100, 1,  6.562160e+08 
500, 100, 3000,  6.082240e+08 
800, 800, 1,  6.632655e+08 
800, 800, 3000,  6.626370e+08 
100, 800, 1,  6.825228e+08 
100, 800, 3000,  6.229368e+08 
800, 100, 1,  6.762695e+08 
800, 100, 3000,  6.214078e+08 
800, 800, 1,  6.639721e+08 
800, 800, 3000,  6.334737e+08 
100, 800, 1,  6.783247e+08 
100, 800, 3000,  6.492004e+08 
800, 100, 1,  6.747588e+08 
800, 100, 3000,  6.482802e+08 
800, 800, 1,  6.645022e+08 
800, 800, 3000,  6.641069e+08 
100, 800, 1,  6.769639e+08 
100, 800, 3000,  6.536389e+08 
800, 100, 1,  6.770741e+08 
800, 100, 3000,  6.442543e+08 
800, 800, 1,  6.910201e+08 
800, 800, 3000,  6.652305e+08 
100, 800, 1,  6.766227e+08 
100, 800, 3000,  6.527156e+08 
800, 100, 1,  6.770471e+08 
800, 100, 3000,  6.493239e+08 
800, 800, 1,  6.943116e+08 
800, 800, 3000,  6.635924e+08 
100, 800, 1,  6.774701e+08 
100, 800, 3000,  6.508958e+08 
800, 100, 1,  6.747514e+08 
800, 100, 3000,  6.459267e+08 
800, 800, 1,  6.947549e+08 
800, 800, 3000,  6.633473e+08 
100, 800, 1,  6.772540e+08 
100, 800, 3000,  6.528292e+08 
800, 100, 1,  6.763723e+08 
800, 100, 3000,  6.487145e+08 
800, 800, 1,  6.652664e+08 
800, 800, 3000,  6.608321e+08 
100, 800, 1,  6.850056e+08 
100, 800, 3000,  6.503392e+08 
800, 100, 1,  6.831104e+08 
800, 100, 3000,  6.488983e+08 
800, 800, 1,  6.944695e+08 
800, 800, 3000,  6.632170e+08 
100, 800, 1,  6.787329e+08 
100, 800, 3000,  6.522932e+08 
800, 100, 1,  6.734616e+08 
800, 100, 3000,  6.448347e+08 
800, 800, 1,  6.907412e+08 
800, 800, 3000,  6.365086e+08 
100, 800, 1,  6.796245e+08 
100, 800, 3000,  6.507052e+08 
800, 100, 1,  6.554866e+08 
800, 100, 3000,  6.465242e+08 
800, 800, 1,  6.936221e+08 
800, 800, 3000,  6.611752e+08 
100, 800, 1,  6.792073e+08 
100, 800, 3000,  6.507686e+08 
800, 100, 1,  6.739035e+08 
800, 100, 3000,  6.489630e+08 
800, 800, 1,  6.656462e+08 
800, 800, 3000,  6.629661e+08 
100, 800, 1,  6.802979e+08 
100, 800, 3000,  6.498847e+08 
800, 100, 1,  6.730849e+08 
800, 100, 3000,  6.489006e+08 
800, 800, 1,  6.925693e+08 
800, 800, 3000,  6.640759e+08 
100, 800, 1,  7.026927e+08 
100, 800, 3000,  6.499150e+08 
800, 100, 1,  6.755584e+08 
800, 100, 3000,  6.478729e+08 
800, 800, 1,  6.946220e+08 
800, 800, 3000,  6.645047e+08 
100, 800, 1,  6.773147e+08 
100, 800, 3000,  5.508940e+08 
800, 100, 1,  6.702862e+08 
800, 100, 3000,  6.059884e+08 
800, 800, 1,  6.952136e+08 
800, 800, 3000,  6.643037e+08 
100, 800, 1,  6.647816e+08 
100, 800, 3000,  6.515201e+08 
800, 100, 1,  6.710621e+08 
800, 100, 3000,  6.479381e+08 
800, 800, 1,  6.920874e+08 
800, 800, 3000,  6.639650e+08 
100, 800, 1,  6.754845e+08 
100, 800, 3000,  6.581437e+08 
800, 100, 1,  6.746235e+08 
800, 100, 3000,  6.473675e+08 
1000, 1000, 1,  6.933971e+08 
1000, 1000, 3000,  6.618383e+08 
100, 1000, 1,  6.876323e+08 
100, 1000, 3000,  6.590921e+08 
1000, 100, 1,  6.826382e+08 
1000, 100, 3000,  6.559268e+08 
1000, 1000, 1,  6.931650e+08 
1000, 1000, 3000,  6.624595e+08 
100, 1000, 1,  6.865834e+08 
100, 1000, 3000,  6.566824e+08 
1000, 100, 1,  6.823780e+08 
1000, 100, 3000,  6.488825e+08 
1000, 1000, 1,  6.935792e+08 
1000, 1000, 3000,  6.347526e+08 
100, 1000, 1,  6.797829e+08 
100, 1000, 3000,  6.631765e+08 
1000, 100, 1,  6.827661e+08 
1000, 100, 3000,  6.514525e+08 
1000, 1000, 1,  6.934595e+08 
1000, 1000, 3000,  6.622385e+08 
100, 1000, 1,  6.845191e+08 
100, 1000, 3000,  6.609222e+08 
1000, 100, 1,  6.853349e+08 
1000, 100, 3000,  6.546493e+08 
1000, 1000, 1,  6.581387e+08 
1000, 1000, 3000,  6.624598e+08 
100, 1000, 1,  6.859105e+08 
100, 1000, 3000,  6.581117e+08 
1000, 100, 1,  6.823825e+08 
1000, 100, 3000,  6.519145e+08 
1000, 1000, 1,  6.928748e+08 
1000, 1000, 3000,  6.355334e+08 
100, 1000, 1,  6.871851e+08 
100, 1000, 3000,  6.608019e+08 
1000, 100, 1,  6.818335e+08 
1000, 100, 3000,  6.403175e+08 
1000, 1000, 1,  6.575814e+08 
1000, 1000, 3000,  6.635528e+08 
100, 1000, 1,  6.862332e+08 
100, 1000, 3000,  6.576787e+08 
1000, 100, 1,  6.821954e+08 
1000, 100, 3000,  6.525227e+08 
1000, 1000, 1,  6.929658e+08 
1000, 1000, 3000,  6.597495e+08 
100, 1000, 1,  6.863140e+08 
100, 1000, 3000,  6.533715e+08 
1000, 100, 1,  6.816107e+08 
1000, 100, 3000,  6.514575e+08 
1000, 1000, 1,  6.935368e+08 
1000, 1000, 3000,  6.631668e+08 
100, 1000, 1,  6.862866e+08 
100, 1000, 3000,  6.589519e+08 
1000, 100, 1,  6.831859e+08 
1000, 100, 3000,  6.535181e+08 
1000, 1000, 1,  6.593037e+08 
1000, 1000, 3000,  6.617643e+08 
100, 1000, 1,  6.593148e+08 
100, 1000, 3000,  6.585346e+08 
1000, 100, 1,  6.819486e+08 
1000, 100, 3000,  6.511885e+08 
1000, 1000, 1,  6.934077e+08 
1000, 1000, 3000,  6.614909e+08 
100, 1000, 1,  6.842007e+08 
100, 1000, 3000,  6.584148e+08 
1000, 100, 1,  6.822610e+08 
1000, 100, 3000,  6.546507e+08 
1000, 1000, 1,  6.924862e+08 
1000, 1000, 3000,  6.620688e+08 
100, 1000, 1,  6.855116e+08 
100, 1000, 3000,  6.558046e+08 
1000, 100, 1,  6.468366e+08 
1000, 100, 3000,  6.229306e+08 
1000, 1000, 1,  6.928779e+08 
1000, 1000, 3000,  6.623574e+08 
100, 1000, 1,  6.829255e+08 
100, 1000, 3000,  6.584571e+08 
1000, 100, 1,  6.764578e+08 
1000, 100, 3000,  6.526597e+08 
1000, 1000, 1,  6.936173e+08 
1000, 1000, 3000,  6.614229e+08 
100, 1000, 1,  6.834058e+08 
100, 1000, 3000,  6.634194e+08 
1000, 100, 1,  6.819515e+08 
1000, 100, 3000,  6.556141e+08 
1000, 1000, 1,  6.923175e+08 
1000, 1000, 3000,  6.629891e+08 
100, 1000, 1,  6.860738e+08 
100, 1000, 3000,  6.596424e+08 
1000, 100, 1,  6.815052e+08 
1000, 100, 3000,  6.553836e+08 
1300, 1300, 1,  6.964584e+08 
1300, 1300, 3000,  6.676234e+08 
100, 1300, 1,  6.937921e+08 
100, 1300, 3000,  6.626415e+08 
1300, 100, 1,  6.888841e+08 
1300, 100, 3000,  6.662806e+08 
1300, 1300, 1,  6.969518e+08 
1300, 1300, 3000,  6.673098e+08 
100, 1300, 1,  6.935418e+08 
100, 1300, 3000,  6.622749e+08 
1300, 100, 1,  6.881344e+08 
1300, 100, 3000,  6.596742e+08 
1300, 1300, 1,  6.974167e+08 
1300, 1300, 3000,  6.676753e+08 
100, 1300, 1,  6.931838e+08 
100, 1300, 3000,  6.622132e+08 
1300, 100, 1,  6.879207e+08 
1300, 100, 3000,  6.562413e+08 
1300, 1300, 1,  6.977352e+08 
1300, 1300, 3000,  6.654033e+08 
100, 1300, 1,  6.890781e+08 
100, 1300, 3000,  6.630283e+08 
1300, 100, 1,  6.886925e+08 
1300, 100, 3000,  6.587799e+08 
1300, 1300, 1,  6.977396e+08 
1300, 1300, 3000,  6.654887e+08 
100, 1300, 1,  6.921852e+08 
100, 1300, 3000,  6.636569e+08 
1300, 100, 1,  6.900857e+08 
1300, 100, 3000,  6.613702e+08 
1300, 1300, 1,  6.978000e+08 
1300, 1300, 3000,  6.659683e+08 
100, 1300, 1,  6.865312e+08 
100, 1300, 3000,  6.662719e+08 
1300, 100, 1,  6.890764e+08 
1300, 100, 3000,  6.580507e+08 
1300, 1300, 1,  6.974096e+08 
1300, 1300, 3000,  6.657574e+08 
100, 1300, 1,  6.920820e+08 
100, 1300, 3000,  6.635743e+08 
1300, 100, 1,  6.877758e+08 
1300, 100, 3000,  6.595739e+08 
1300, 1300, 1,  6.955841e+08 
1300, 1300, 3000,  6.660492e+08 
100, 1300, 1,  6.922111e+08 
100, 1300, 3000,  6.637094e+08 
1300, 100, 1,  6.883708e+08 
1300, 100, 3000,  6.597247e+08 
1300, 1300, 1,  6.967450e+08 
1300, 1300, 3000,  6.648153e+08 
100, 1300, 1,  6.923681e+08 
100, 1300, 3000,  6.602051e+08 
1300, 100, 1,  6.871160e+08 
1300, 100, 3000,  6.613203e+08 
1300, 1300, 1,  6.974023e+08 
1300, 1300, 3000,  6.653402e+08 
100, 1300, 1,  6.918283e+08 
100, 1300, 3000,  6.638741e+08 
1300, 100, 1,  6.885794e+08 
1300, 100, 3000,  6.561864e+08 
1300, 1300, 1,  6.964141e+08 
1300, 1300, 3000,  6.661270e+08 
100, 1300, 1,  6.933279e+08 
100, 1300, 3000,  6.637641e+08 
1300, 100, 1,  6.881177e+08 
1300, 100, 3000,  6.591245e+08 
1300, 1300, 1,  6.961745e+08 
1300, 1300, 3000,  6.542090e+08 
100, 1300, 1,  6.918345e+08 
100, 1300, 3000,  6.631159e+08 
1300, 100, 1,  6.866340e+08 
1300, 100, 3000,  6.589954e+08 
1300, 1300, 1,  6.964323e+08 
1300, 1300, 3000,  6.646728e+08 
100, 1300, 1,  6.726846e+08 
100, 1300, 3000,  6.434863e+08 
1300, 100, 1,  6.882293e+08 
1300, 100, 3000,  6.495400e+08 
1300, 1300, 1,  6.809371e+08 
1300, 1300, 3000,  6.659492e+08 
100, 1300, 1,  6.861837e+08 
100, 1300, 3000,  6.635544e+08 
1300, 100, 1,  6.865428e+08 
1300, 100, 3000,  6.603778e+08 
1300, 1300, 1,  6.730973e+08 
1300, 1300, 3000,  6.661469e+08 
100, 1300, 1,  6.869360e+08 
100, 1300, 3000,  6.506443e+08 
1300, 100, 1,  6.865686e+08 
1300, 100, 3000,  6.586906e+08 
1600, 1600, 1,  7.020499e+08 
1600, 1600, 3000,  6.503409e+08 
100, 1600, 1,  6.962836e+08 
100, 1600, 3000,  6.633804e+08 
1600, 100, 1,  6.907091e+08 
1600, 100, 3000,  6.624616e+08 
1600, 1600, 1,  6.724024e+08 
1600, 1600, 3000,  6.727960e+08 
100, 1600, 1,  6.978100e+08 
100, 1600, 3000,  6.671728e+08 
1600, 100, 1,  6.912270e+08 
1600, 100, 3000,  6.628963e+08 
1600, 1600, 1,  6.989598e+08 
1600, 1600, 3000,  6.719237e+08 
100, 1600, 1,  6.965660e+08 
100, 1600, 3000,  6.655026e+08 
1600, 100, 1,  6.915175e+08 
1600, 100, 3000,  6.630517e+08 
1600, 1600, 1,  7.019766e+08 
1600, 1600, 3000,  6.725220e+08 
100, 1600, 1,  6.958852e+08 
