version,pattern,thread,n_rows,n_cols,time_elapsed
histo_seq, pat1, 16, 1000,1000,2.425664
histo_seq, pat1, 16,10000,100,2.310346
histo_seq, pat1, 16,100,10000,2.450246
histo_seq, pat2, 16, 1000,1000,2.501606
histo_seq, pat2, 16,10000,100,2.540896
histo_seq, pat2, 16,100,10000,2.520597
histo_seq, random, 16, 1000,1000,1.157980
histo_seq, random, 16,10000,100,1.137896
histo_seq, random, 16,100,10000,1.149976
histo_seq, areas, 16, 3000,3000,7.306273
histo_seq, areas, 16,30000,300,7.430721
histo_seq, areas, 16,300,30000,7.644393
histo_seq, plasma, 16, 3000,3000,8.701228
histo_seq, plasma, 16,30000,300,7.133788
histo_seq, plasma, 16,300,30000,1.114505
histo_seq, gradient, 16, 3000,3000,1.132951
histo_seq, gradient, 16,30000,300,2.129807
histo_seq, gradient, 16,300,30000,1.765153
histo_seq, uni, 16, 3000,3000,1.925023
histo_seq, uni, 16,30000,300,1.780059
histo_seq, uni, 16,300,30000,2.402621
histo_seq, pat1, 16, 3000,3000,1.733288
histo_seq, pat1, 16,30000,300,1.670276
histo_seq, pat1, 16,300,30000,1.745750
histo_seq, pat2, 16, 3000,3000,2.403676
histo_seq, pat2, 16,30000,300,1.890198
histo_seq, pat2, 16,300,30000,1.767555
histo_seq, random, 16, 3000,3000,8.080546
histo_seq, random, 16,30000,300,1.030442
histo_seq, random, 16,300,30000,8.010448
histo_seq, areas, 16, 5000,5000,2.102784
histo_seq, areas, 16,50000,500,2.109284
histo_seq, areas, 16,500,50000,2.119678
histo_seq, plasma, 16, 5000,5000,2.951674
histo_seq, plasma, 16,50000,500,2.145609
histo_seq, plasma, 16,500,50000,3.183026
histo_seq, gradient, 16, 5000,5000,3.447909
histo_seq, gradient, 16,50000,500,4.672199
histo_seq, gradient, 16,500,50000,4.883466
histo_seq, uni, 16, 5000,5000,4.962712
histo_seq, uni, 16,50000,500,
histo_seq, uni, 16,500,50000,4.957505
histo_seq, pat1, 16, 5000,5000,
histo_seq, pat1, 16,50000,500,4.907163
histo_seq, pat1, 16,500,50000,4.900929
histo_seq, pat2, 16, 5000,5000,
histo_seq, pat2, 16,50000,500,4.894137
histo_seq, pat2, 16,500,50000,4.926269
histo_seq, random, 16, 5000,5000,2.242124
histo_seq, random, 16,50000,500,2.238173
histo_seq, random, 16,500,50000,2.246545
histo_seq, areas, 16, 1000,1000,9.264120
histo_seq, areas, 16,10000,100,9.422130
histo_seq, areas, 16,100,10000,9.566470
histo_seq, plasma, 16, 1000,1000,1.064601
histo_seq, plasma, 16,10000,100,8.286970
