n_nums,buffersize,runtime
1501,1000,2.271747
1501,1000,2.297790
1501,1000,2.234601
1501,1000,2.358518
1501,1000,2.236493
1501,1000,2.227528
1501,1000,2.137389
1501,1000,2.058728
1501,1000,2.160648
1501,1000,2.159254
1501,1000,2.209175
1501,1000,2.116614
1601,1000,2.548255
1601,1000,2.365151
1601,1000,2.344922
1601,1000,2.353939
1601,1000,2.435524
1601,1000,2.560245
1601,1000,2.630004
1601,1000,2.267385
1601,1000,2.387990
1601,1000,2.435009
1601,1000,2.272975
1601,1000,2.377558
1601,1000,2.588425
1601,1000,2.323056
1601,1000,2.517540
1601,1000,2.691921
1601,1000,2.501564
1601,1000,2.651496
1601,1000,2.414869
1601,1000,2.365915
1701,1000,2.511457
1701,1000,2.350751
1701,1000,2.669646
1701,1000,2.372440
1701,1000,2.671399
1701,1000,2.832081
1701,1000,2.419156
1701,1000,2.600823
1701,1000,2.608852
1701,1000,2.550925
1701,1000,2.628009
1701,1000,2.714540
1701,1000,2.645211
1701,1000,2.512439
1701,1000,2.806603
1701,1000,2.796985
1701,1000,2.752724
1701,1000,2.535755
1701,1000,2.631845
1701,1000,2.582232
1801,1000,2.699181
1801,1000,2.706932
1801,1000,2.946785
1801,1000,2.821137
1801,1000,2.885093
1801,1000,2.839164
1801,1000,3.031444
1801,1000,3.030254
1801,1000,2.958641
1801,1000,3.067216
1801,1000,2.731042
1801,1000,3.017677
1801,1000,3.163693
1801,1000,3.030716
1801,1000,2.988744
1801,1000,2.742605
1801,1000,2.853438
1801,1000,2.938657
1801,1000,2.876276
1801,1000,2.784667
1901,1000,3.044444
1901,1000,3.011812
1901,1000,3.156968
1901,1000,3.116915
1901,1000,3.318120
1901,1000,3.101357
1901,1000,2.843861
1901,1000,3.041028
1901,1000,2.863630
1901,1000,2.967053
1901,1000,2.982626
1901,1000,3.047546
1901,1000,2.968562
1901,1000,3.175990
1901,1000,3.019845
1901,1000,3.207322
1901,1000,3.087290
1901,1000,3.077107
1901,1000,3.106138
1901,1000,3.359358
2001,1000,3.422328
2001,1000,3.398357
2001,1000,3.318479
2001,1000,3.353047
2001,1000,3.023300
2001,1000,3.467327
2001,1000,3.661646
2001,1000,3.374404
2001,1000,3.083563
2001,1000,3.443660
2001,1000,3.094120
2001,1000,3.340897
2001,1000,3.461421
2001,1000,4.513802
2001,1000,3.447879
2001,1000,3.443293
2001,1000,3.284079
2001,1000,3.729745
2001,1000,3.535649
2001,1000,3.447821
2101,1000,3.016906
2101,1000,3.374357
2101,1000,3.508871
2101,1000,3.314865
2101,1000,3.484288
2101,1000,3.456269
2101,1000,3.682560
2101,1000,3.546287
2101,1000,3.689430
2101,1000,3.873775
2101,1000,3.665252
2101,1000,3.722313
2101,1000,3.429998
2101,1000,3.687871
2101,1000,3.299794
2101,1000,3.208688
2101,1000,3.748242
2101,1000,3.410532
2101,1000,3.806238
2101,1000,3.259399
2201,1000,3.794016
2201,1000,3.941421
2201,1000,4.245095
2201,1000,3.905630
2201,1000,3.571423
2201,1000,3.392169
2201,1000,3.741866
2201,1000,3.724312
2201,1000,4.101614
2201,1000,4.129144
2201,1000,3.739605
2201,1000,3.458810
2201,1000,4.046500
2201,1000,3.882487
2201,1000,3.502010
2201,1000,3.701884
2201,1000,3.632177
2201,1000,3.716843
