n_nums,buffersize,runtime
10,1,1.115667
10,2,1.159789
10,3,1.192616
10,4,1.169961
10,5,1.182853
10,6,1.176698
10,7,1.203111
10,8,1.193846
10,9,1.183039
10,10,1.216539
10,12,1.208814
10,14,1.201986
10,16,1.174479
10,18,1.192759
10,20,1.198491
10,25,1.088471
10,30,1.146479
10,35,1.140918
10,40,1.138889
10,45,1.197174
10,50,1.126305
10,100,1.140705
10,200,1.200129
10,300,1.187851
10,400,1.520898
10,500,1.157356
10,600,1.145483
10,700,1.035154
10,800,1.153901
10,900,1.176677
10,1000,1.135612
50,1,4.194259
50,2,4.284963
50,3,4.276022
50,4,4.441781
50,5,4.644767
50,6,4.610785
50,7,4.590184
50,8,4.427933
50,9,4.433441
50,10,4.141237
50,12,4.453299
50,14,4.423961
50,16,4.571528
50,18,4.510602
50,20,4.529507
50,25,4.302687
50,30,4.216863
50,35,4.328893
50,40,4.265721
50,45,4.314938
50,50,4.358258
50,100,4.300542
50,200,4.648241
50,300,4.464623
50,400,4.596965
50,500,4.352637
50,600,4.438899
50,700,4.509174
50,800,4.419741
50,900,4.293249
50,1000,4.286914
100,1,9.082588
100,2,8.758036
100,3,8.831943
100,4,9.048558
100,5,8.843713
100,6,8.895901
100,7,8.368106
100,8,8.702822
100,9,8.791791
100,10,8.688480
100,12,8.799272
100,14,9.043680
100,16,8.695003
100,18,8.828757
100,20,8.756238
100,25,8.976499
100,30,9.023363
100,35,8.913918
100,40,9.138100
100,45,8.618221
100,50,8.769970
100,100,8.568704
100,200,9.099384
100,300,9.142156
100,400,8.436753
100,500,8.847740
100,600,8.822921
100,700,8.456469
100,800,8.652653
100,900,9.012410
100,1000,8.634014
500,1,4.403614
500,2,4.407381
500,3,4.452210
500,4,4.252150
500,5,4.223020
500,6,4.305018
500,7,4.323745
500,8,4.299435
500,9,4.412224
500,10,4.391572
500,12,4.305552
500,14,4.294472
500,16,4.344221
500,18,4.403863
500,20,4.375658
500,25,4.219595
500,30,4.148474
500,35,4.288297
500,40,4.391248
500,45,4.294935
500,50,4.341574
500,100,4.407095
500,200,4.240620
500,300,4.343306
500,400,4.399867
500,500,4.421633
500,600,4.226786
500,700,4.364459
500,800,4.266871
500,900,4.413419
500,1000,4.242890
1000,1,1.134863
1000,2,1.202162
1000,3,1.233470
1000,4,9.354662
1000,5,1.259413
1000,6,1.205212
1000,7,1.128282
1000,8,1.104084
1000,9,1.130814
1000,10,1.250037
1000,12,1.046667
1000,14,1.274794
1000,16,1.170107
1000,18,1.137022
1000,20,9.711732
1000,25,1.238441
1000,30,1.087412
1000,35,1.124879
1000,40,1.163068
1000,45,1.110391
1000,50,1.165723
1000,100,1.136977
1000,200,1.199130
1000,300,1.137398
1000,400,1.171954
1000,500,1.218906
1000,600,9.913531
1000,700,1.191373
1000,800,1.170440
1000,900,1.278579
1000,1000,1.151665
2000,1,3.388697
2000,2,3.254567
2000,3,2.878133
2000,4,3.718625
2000,5,3.287399
2000,6,3.375595
2000,7,3.349553
2000,8,3.798956
2000,9,3.687148
2000,10,3.572232
2000,12,3.257141
2000,14,3.240612
2000,16,3.787258
2000,18,3.149294
2000,20,3.087631
2000,25,3.646017
2000,30,3.139400
2000,35,3.428235
2000,40,3.380062
2000,45,3.598826
2000,50,4.027673
2000,100,3.560899
2000,200,3.117125
2000,300,3.389931
2000,400,3.568548
2000,500,3.588331
2000,600,3.488862
2000,700,3.564580
2000,800,3.252601
2000,900,3.452667
2000,1000,3.691399
3000,1,5.888530
3000,2,6.870633
3000,3,7.041708
3000,4,5.800179
3000,5,6.074079
3000,6,6.429389
3000,7,6.246643
3000,8,6.402190
3000,9,5.951451
3000,10,5.289238
3000,12,6.673990
3000,14,6.501556
3000,16,6.182795
3000,18,6.358545
3000,20,5.839722
3000,25,5.988604
3000,30,6.359973
3000,35,6.252820
3000,40,6.256628
3000,45,7.183100
3000,50,5.336634
3000,100,6.225465
3000,200,6.131405
3000,300,6.588277
3000,400,6.650934
3000,500,5.718443
3000,600,6.009750
3000,700,8.329343
3000,800,5.469176
3000,900,5.635828
3000,1000,5.733479
4000,1,8.798794
4000,2,9.134345
4000,3,1.016311
4000,4,8.096266
4000,5,1.005293
4000,6,1.041805
4000,7,8.901512
4000,8,8.720891
4000,9,9.565824
4000,10,9.762942
4000,12,8.766654
4000,14,9.587591
4000,16,7.865427
4000,18,9.151176
4000,20,9.838940
4000,25,8.855541
4000,30,9.081564
4000,35,8.142291
4000,40,8.216689
4000,45,8.910991
4000,50,9.910203
4000,100,9.903091
4000,200,1.154571
4000,300,8.421681
4000,400,9.262594
4000,500,8.622700
4000,600,9.327651
4000,700,8.518175
4000,800,8.995538
4000,900,9.127394
4000,1000,9.350918
10,1,1.225344
10,2,1.163949
10,3,1.196366
10,4,1.206887
10,5,1.232451
10,6,1.238360
10,7,1.165928
10,8,1.123427
10,9,1.320897
10,10,1.094856
10,12,1.161090
10,14,1.171060
10,16,1.242871
10,18,1.199548
10,20,1.229992
10,25,1.250691
10,30,1.148822
10,35,1.254054
10,40,1.191253
10,45,1.183433
10,50,1.198822
10,100,1.219420
10,200,1.159358
10,300,1.170213
10,400,1.194945
10,500,1.230123
10,600,1.214114
10,700,1.160077
10,800,1.131517
10,900,1.196875
10,1000,1.212077
50,1,4.484772
50,2,4.592691
50,3,4.414050
50,4,4.459943
50,5,4.458412
50,6,4.569804
50,7,4.226100
50,8,4.217567
50,9,4.316879
50,10,4.482482
50,12,4.505602
50,14,4.538392
50,16,4.570304
50,18,4.423522
50,20,4.120174
50,25,4.345643
50,30,4.626812
50,35,4.555107
50,40,4.394899
50,45,3.245823
50,50,4.563066
50,100,4.419436
50,200,4.179167
50,300,4.476276
50,400,4.218568
50,500,4.472922
50,600,4.405234
50,700,4.468630
50,800,4.275512
50,900,4.160486
50,1000,4.406101
100,1,8.893658
100,2,8.991775
100,3,9.175842
100,4,9.340870
100,5,8.315856
100,6,8.405715
100,7,8.600722
100,8,8.489866
100,9,9.113025
100,10,8.648307
100,12,8.685202
100,14,8.974581
100,16,8.714843
100,18,8.781713
100,20,9.344989
100,25,9.146178
100,30,8.865131
100,35,8.600902
100,40,8.864356
100,45,8.754078
100,50,8.547994
100,100,8.807900
100,200,8.845391
100,300,8.106988
100,400,8.831695
100,500,8.969489
100,600,8.861604
100,700,8.986167
100,800,8.570663
100,900,9.016717
100,1000,8.764302
500,1,4.465400
500,2,4.384806
500,3,4.233634
500,4,4.354822
500,5,4.259519
500,6,4.192696
500,7,4.460997
500,8,4.245890
500,9,4.169389
500,10,4.245743
500,12,4.407697
500,14,4.273541
500,16,4.279397
500,18,4.163532
500,20,4.267039
500,25,4.346441
500,30,4.338499
500,35,4.209744
500,40,4.168195
500,45,4.274356
500,50,4.277376
500,100,4.414826
500,200,4.300961
500,300,4.364286
500,400,4.276021
500,500,4.496720
500,600,4.403010
500,700,4.443435
500,800,4.344424
500,900,4.438246
500,1000,4.216672
1000,1,1.179113
1000,2,1.140169
1000,3,1.148441
1000,4,1.132314
1000,5,1.082779
1000,6,1.110210
1000,7,1.140935
1000,8,1.015314
1000,9,1.203045
1000,10,1.107990
1000,12,1.088375
1000,14,1.081926
1000,16,1.223508
1000,18,1.181733
1000,20,1.148947
1000,25,1.141833
1000,30,1.151036
1000,35,9.385979
1000,40,1.053690
1000,45,1.115390
1000,50,1.029664
1000,100,1.117890
1000,200,9.370032
1000,300,1.187334
1000,400,1.183921
1000,500,1.091109
1000,600,1.213342
1000,700,9.551486
1000,800,1.103172
1000,900,1.142102
1000,1000,1.147708
2000,1,3.526671
2000,2,3.329045
2000,3,3.672920
2000,4,3.328008
2000,5,3.576242
2000,6,3.356475
2000,7,3.663371
2000,8,3.669170
2000,9,3.375132
2000,10,3.804172
2000,12,3.368249
2000,14,3.297877
2000,16,3.593553
2000,18,3.394508
2000,20,3.559113
2000,25,3.513701
2000,30,3.554020
2000,35,3.315128
2000,40,3.659123
2000,45,3.425208
2000,50,3.639674
2000,100,3.324985
2000,200,3.418461
2000,300,3.243870
2000,400,3.298319
2000,500,3.203581
2000,600,3.428507
2000,700,3.056380
2000,800,3.329146
2000,900,3.653451
2000,1000,3.520455
3000,1,5.635678
3000,2,6.350151
3000,3,6.187683
3000,4,5.629331
3000,5,6.475684
3000,6,6.231500
3000,7,5.291846
3000,8,5.720158
3000,9,6.178354
3000,10,5.729568
3000,12,6.110640
3000,14,6.107415
3000,16,6.333045
3000,18,6.356703
3000,20,5.936100
3000,25,5.717003
3000,30,6.981402
3000,35,6.235058
3000,40,6.510351
3000,45,6.173238
3000,50,5.831817
3000,100,5.809075
3000,200,6.214067
3000,300,6.265085
3000,400,6.121643
3000,500,6.193043
3000,600,6.168546
3000,700,5.688781
3000,800,5.193677
3000,900,6.494064
3000,1000,6.700781
4000,1,9.152034
4000,2,7.441013
4000,3,9.603881
4000,4,9.108231
4000,5,9.050942
4000,6,8.973145
4000,7,8.779269
4000,8,9.198597
4000,9,7.616949
4000,10,1.019233
4000,12,1.063251
4000,14,9.805741
4000,16,9.539870
4000,18,8.349052
4000,20,8.314850
4000,25,9.419001
4000,30,7.824007
4000,35,8.289211
4000,40,7.591363
4000,45,9.349899
4000,50,8.983364
4000,100,9.393379
4000,200,9.353628
4000,300,9.227492
4000,400,1.093379
4000,500,8.773166
4000,600,8.101519
4000,700,8.017221
4000,800,8.659559
4000,900,1.035275
4000,1000,8.623140
10,1,1.119021
10,2,1.143241
10,3,1.186215
10,4,1.122639
10,5,1.154746
10,6,1.025734
10,7,1.162538
10,8,1.186478
10,9,1.156449
10,10,1.154624
10,12,1.220043
10,14,1.107647
10,16,1.170117
10,18,1.177721
10,20,1.175823
10,25,1.205581
10,30,1.142073
10,35,1.135908
10,40,1.084772
10,45,1.116358
10,50,1.202485
10,100,1.206890
10,200,1.192942
10,300,1.768662
10,400,1.158228
10,500,1.172100
10,600,1.142336
10,700,1.131333
10,800,1.123179
10,900,1.148931
10,1000,1.221670
50,1,4.297687
50,2,4.366798
50,3,4.442661
50,4,4.606437
50,5,4.481787
50,6,4.454713
50,7,4.440796
50,8,4.467738
50,9,4.567830
50,10,4.348125
50,12,4.475625
50,14,4.491742
50,16,4.428720
50,18,4.512628
50,20,4.535571
50,25,4.254822
50,30,4.130470
50,35,4.212814
50,40,4.540975
50,45,4.453660
50,50,4.044849
50,100,4.166054
50,200,4.496209
50,300,4.458866
50,400,4.377685
50,500,4.263473
50,600,4.361481
50,700,3.860535
50,800,4.467612
50,900,4.315231
50,1000,4.456128
100,1,8.713396
100,2,8.513132
100,3,8.485367
100,4,8.999901
100,5,8.846503
100,6,8.492937
100,7,8.905924
100,8,8.858481
100,9,9.007742
100,10,8.707582
100,12,8.365516
100,14,8.817280
100,16,9.044831
100,18,9.057606
100,20,8.869089
100,25,8.883834
100,30,8.928256
100,35,9.131772
100,40,8.922119
100,45,9.209503
100,50,8.492436
100,100,8.721971
100,200,8.531561
100,300,8.676587
100,400,9.119176
100,500,8.941637
100,600,8.688726
100,700,8.596959
100,800,9.091054
100,900,8.990750
100,1000,9.067089
500,1,4.469613
500,2,4.349317
