n_nums,buffersize,runtime
100,900,8.649434
100,1000,8.856611
500,1,4.342780
500,2,4.258124
500,3,4.242223
500,4,4.278243
500,5,4.429332
500,6,4.393421
500,7,4.203195
500,8,4.222682
500,9,4.413848
500,10,4.335842
500,12,4.361629
500,14,4.421843
500,16,4.306150
500,18,4.291203
500,20,4.361808
500,25,4.346796
500,30,4.206333
500,35,4.151800
500,40,4.268156
500,45,4.301611
500,50,4.285147
500,100,4.348694
500,200,4.451692
500,300,4.264054
500,400,4.390998
500,500,4.403900
500,600,4.276949
500,700,4.256737
500,800,4.238689
500,900,4.492669
500,1000,4.427420
1000,1,1.182335
1000,2,9.789141
1000,3,1.132972
1000,4,1.063564
1000,5,1.235362
1000,6,1.164372
1000,7,1.028864
1000,8,1.184052
1000,9,1.222352
1000,10,1.141513
1000,12,1.155520
1000,14,1.153408
1000,16,1.161920
1000,18,1.116905
1000,20,1.136275
1000,25,1.163405
1000,30,1.137084
1000,35,1.083932
1000,40,1.140969
1000,45,1.236478
1000,50,1.160695
1000,100,1.209959
1000,200,1.232621
1000,300,9.330270
1000,400,1.146070
1000,500,1.106413
1000,600,1.079848
1000,700,1.171757
1000,800,1.075262
1000,900,1.058109
1000,1000,1.216867
2000,1,3.452605
2000,2,3.957407
2000,3,3.627959
2000,4,3.736959
2000,5,3.325467
2000,6,3.567283
2000,7,3.301418
2000,8,3.479599
2000,9,3.623951
2000,10,3.558117
2000,12,3.434068
2000,14,3.556633
2000,16,3.213256
2000,18,3.472460
2000,20,3.576408
2000,25,3.144512
2000,30,3.416030
2000,35,3.580403
2000,40,3.207793
2000,45,3.336859
2000,50,3.290527
2000,100,3.391791
2000,200,3.354150
2000,300,3.164808
2000,400,3.828294
2000,500,3.574436
2000,600,3.617867
2000,700,3.638473
2000,800,3.962916
2000,900,3.125615
2000,1000,3.167996
3000,1,5.486921
3000,2,5.656140
3000,3,6.608362
3000,4,6.063772
3000,5,6.652924
3000,6,6.371245
3000,7,6.509758
3000,8,6.409700
3000,9,6.067544
3000,10,6.042190
3000,12,6.281376
3000,14,6.185143
3000,16,5.692421
3000,18,5.786984
3000,20,6.135942
3000,25,5.951672
3000,30,5.616967
3000,35,6.515022
3000,40,5.714168
3000,45,5.882045
3000,50,6.944680
3000,100,6.457144
3000,200,5.414561
3000,300,5.787994
3000,400,6.221748
3000,500,7.059441
3000,600,5.333599
3000,700,5.505827
3000,800,6.132125
3000,900,6.055673
3000,1000,5.450762
4000,1,8.811775
4000,2,8.602620
4000,3,8.935866
4000,4,8.906332
4000,5,8.252838
4000,6,8.253282
4000,7,9.838729
4000,8,8.739231
4000,9,9.543971
4000,10,8.681601
4000,12,7.909517
4000,14,8.122778
4000,16,8.512786
4000,18,8.809190
4000,20,7.996229
4000,25,8.501064
4000,30,8.686256
4000,35,1.172778
4000,40,7.519042
4000,45,8.887145
4000,50,9.071244
4000,100,9.263480
4000,200,9.329220
4000,300,8.550505
4000,400,8.928067
4000,500,1.037473
4000,600,9.615718
4000,700,8.967185
4000,800,9.496642
4000,900,9.588617
4000,1000,1.063297
