version,pattern,n_rows,n_cols,time_elapsed
histogram_v1,random,1024,1024,0.00154297
histogram_v1,random,1025,1025,0.000797645
histogram_v1,random,2048,2048,0.00575767
histogram_v1,random,2049,2049,0.00575146
histogram_v1,random,4096,4096,0.0224231
histogram_v1,random,4097,4097,0.022305
histogram_v1,random,56,56,0.000111631
histogram_v1,random,57,57,0.00011494
histogram_v1,random,120,120,0.000124763
histogram_v1,random,121,121,0.000132264
histogram_v1,random,184,184,0.000141555
histogram_v1,random,185,185,0.000154038
histogram_v1,random,248,248,0.000152122
histogram_v1,random,249,249,0.000195303
histogram_v1,random,312,312,0.00017599
histogram_v1,random,313,313,0.000180592
histogram_v1,random,376,376,0.000211214
histogram_v1,random,377,377,0.000206422
histogram_v1,random,440,440,0.00025274
histogram_v1,random,441,441,0.000239004
histogram_v1,random,504,504,0.000270752
histogram_v1,random,505,505,0.000284459
histogram_v1,random,568,568,0.000336604
histogram_v1,random,569,569,0.000539771
histogram_v1,random,632,632,0.000372607
histogram_v1,random,633,633,0.000642029
histogram_v1,random,696,696,0.000428922
histogram_v1,random,697,697,0.000765727
histogram_v1,random,760,760,0.000508198
histogram_v1,random,761,761,0.000896277
histogram_v1,random,824,824,0.000579882
histogram_v1,random,825,825,0.000590631
histogram_v1,random,888,888,0.000663698
histogram_v1,random,889,889,0.000668963
histogram_v1,random,952,952,0.000779188
histogram_v1,random,953,953,0.000770241
histogram_v1,random,1016,1016,0.000852293
histogram_v1,random,1017,1017,0.000878292
histogram_v1,random,1080,1080,0.00170198
histogram_v1,random,1081,1081,0.00166388
histogram_v1,random,1144,1144,0.00184821
histogram_v1,random,1145,1145,0.0017848
histogram_v1,random,1208,1208,0.0020902
histogram_v1,random,1209,1209,0.00204559
histogram_v1,random,1272,1272,0.00219948
histogram_v1,random,1273,1273,0.00215699
histogram_v1,random,1336,1336,0.00245427
histogram_v1,random,1337,1337,0.00238371
histogram_v1,random,1400,1400,0.00261459
histogram_v1,random,1401,1401,0.00268315
histogram_v1,random,1464,1464,0.00289431
histogram_v1,random,1465,1465,0.00302499
histogram_v1,random,1528,1528,0.00321272
histogram_v1,random,1529,1529,0.002988
histogram_v1,random,1592,1592,0.00348926
histogram_v1,random,1593,1593,0.0034214
histogram_v1,random,1656,1656,0.00375748
histogram_v1,random,1657,1657,0.00373619
histogram_v1,random,1720,1720,0.00396553
histogram_v1,random,1721,1721,0.00386553
histogram_v1,random,1784,1784,0.00440521
histogram_v1,random,1785,1785,0.00422108
histogram_v1,random,1848,1848,0.00469795
histogram_v1,random,1849,1849,0.00467893
histogram_v1,random,1912,1912,0.00495237
histogram_v1,random,1913,1913,0.00496907
histogram_v1,random,1976,1976,0.00510656
histogram_v1,random,1977,1977,0.00513281
histogram_v1,random,2040,2040,0.00563735
histogram_v1,random,2041,2041,0.00570296
histogram_v1,random,2104,2104,0.00589944
histogram_v1,random,2105,2105,0.00602167
histogram_v1,random,2168,2168,0.00637012
histogram_v1,random,2169,2169,0.00635471
histogram_v1,random,2232,2232,0.006658
histogram_v1,random,2233,2233,0.00663471
histogram_v1,random,2296,2296,0.00718414
histogram_v1,random,2297,2297,0.00629854
histogram_v1,random,2360,2360,0.00720451
histogram_v1,random,2361,2361,0.00752063
histogram_v1,random,2424,2424,0.00745444
histogram_v1,random,2425,2425,0.0071915
histogram_v1,random,2488,2488,0.00829927
histogram_v1,random,2489,2489,0.00793366
histogram_v1,random,2552,2552,0.00847325
histogram_v1,random,2553,2553,0.00818884
histogram_v1,random,2616,2616,0.00920049
histogram_v1,random,2617,2617,0.00915047
histogram_v1,random,2680,2680,0.00970277
histogram_v1,random,2681,2681,0.00924172
histogram_v1,random,2744,2744,0.0101445
histogram_v1,random,2745,2745,0.0101361
histogram_v1,random,2808,2808,0.0105686
histogram_v1,random,2809,2809,0.0105794
histogram_v1,random,2872,2872,0.0109983
histogram_v1,random,2873,2873,0.0111033
histogram_v1,random,2936,2936,0.011576
histogram_v1,random,2937,2937,0.0110242
